Date,Empl CMID,Time In,Time Out
09/08/2021,383,05:39:05,12:00:00
09/08/2021,389,08:34:11,12:00:00
09/08/2021,391,05:54:29,12:00:00
09/08/2021,397,06:38:57,12:00:00
09/08/2021,400,07:38:35,12:00:00
09/08/2021,403,08:56:47,12:00:00
09/08/2021,406,06:02:29,12:00:00
09/08/2021,411,08:46:50,12:00:00
09/08/2021,417,05:40:35,12:00:00
09/08/2021,418,08:43:14,12:00:00
09/08/2021,419,05:54:54,12:00:00
09/08/2021,420,07:50:15,17:00:00
09/08/2021,423,08:35:00,12:00:00
09/08/2021,426,06:17:58,12:00:00
09/08/2021,427,05:44:45,12:00:00
09/08/2021,430,07:43:31,12:00:00
09/08/2021,436,08:15:45,17:00:00
09/08/2021,451,05:54:44,12:00:00
09/08/2021,456,06:43:18,12:00:00
09/08/2021,457,07:44:35,17:00:00
09/08/2021,459,07:36:45,12:00:00
09/08/2021,461,05:55:36,12:00:00
09/08/2021,463,07:15:53,12:00:00
09/08/2021,465,08:23:45,12:00:00
09/08/2021,466,05:39:44,12:00:00
09/08/2021,470,05:54:32,12:00:00
09/08/2021,471,08:33:34,12:00:00
09/08/2021,473,07:43:17,12:00:00
09/08/2021,476,08:34:36,12:00:00
09/08/2021,495,07:48:51,12:00:00
09/08/2021,501,05:59:13,12:00:00
09/08/2021,505,05:29:41,12:00:00
09/08/2021,507,07:47:53,12:00:00
09/08/2021,508,07:51:11,12:00:00
09/08/2021,510,08:56:01,12:00:00
09/08/2021,517,05:49:22,12:00:00
09/08/2021,522,07:59:49,12:00:00
09/08/2021,523,07:30:36,12:00:00
09/08/2021,528,07:39:39,12:00:00
09/08/2021,530,05:55:23,12:00:00
09/08/2021,531,05:55:01,12:00:00
09/08/2021,539,05:54:23,12:00:00
09/08/2021,543,05:42:39,12:00:00
09/08/2021,552,05:44:23,12:00:00
09/08/2021,553,05:57:10,12:00:00
09/08/2021,554,06:08:16,12:00:00
09/08/2021,563,05:51:06,12:00:00
09/08/2021,569,05:37:36,12:00:00
09/08/2021,572,05:57:28,12:00:00
09/08/2021,576,07:24:16,12:00:00
09/08/2021,579,07:48:35,12:00:00
09/08/2021,580,08:34:47,12:00:00
09/08/2021,586,07:20:32,12:00:00
09/08/2021,590,05:28:38,12:00:00
09/08/2021,591,08:05:16,12:00:00
09/08/2021,593,08:51:56,12:00:00
09/08/2021,595,05:39:00,12:00:00
09/08/2021,602,05:39:36,12:00:00
09/08/2021,609,05:10:30,12:00:00
09/08/2021,611,07:24:07,12:00:00
09/08/2021,613,07:38:16,12:00:00
09/08/2021,614,06:08:10,12:00:00
09/08/2021,615,07:33:03,12:00:00
09/08/2021,622,08:00:54,12:00:00
09/08/2021,628,05:38:42,12:00:00
09/08/2021,629,07:07:15,12:00:00
09/08/2021,631,05:28:05,12:00:00
09/08/2021,632,07:38:05,12:00:00
09/08/2021,633,05:54:04,12:00:00
09/08/2021,635,07:39:11,12:00:00
09/08/2021,636,05:08:09,12:00:00
09/08/2021,639,08:34:38,12:00:00
09/08/2021,640,06:15:16,12:00:00
09/08/2021,644,05:28:12,12:00:00
09/08/2021,647,08:06:51,12:00:00
09/08/2021,657,07:43:28,12:00:00
09/08/2021,659,06:04:23,12:00:00
09/08/2021,660,05:18:08,12:00:00
09/08/2021,668,05:40:11,12:00:00
09/08/2021,671,05:45:38,12:00:00
09/08/2021,673,08:41:09,12:00:00
09/08/2021,679,05:55:29,12:00:00
09/08/2021,681,08:34:04,12:00:00
09/08/2021,682,07:58:53,12:00:00
09/08/2021,699,05:58:57,12:00:00
09/08/2021,701,07:45:17,12:00:00
09/08/2021,705,05:57:27,12:00:00
09/08/2021,715,05:42:02,12:00:00
09/08/2021,721,05:48:12,12:00:00
09/08/2021,727,07:16:36,12:00:00
09/08/2021,730,05:28:53,12:00:00
09/08/2021,733,05:48:07,12:00:00
09/08/2021,734,08:34:42,12:00:00
09/08/2021,736,06:57:45,17:00:00
09/08/2021,739,05:52:21,12:00:00
09/08/2021,741,05:20:41,12:00:00
09/08/2021,742,05:52:28,12:00:00
09/08/2021,747,07:39:24,12:00:00
09/08/2021,753,07:37:12,12:00:00
09/08/2021,754,07:37:20,12:00:00
09/08/2021,755,07:16:30,12:00:00
09/08/2021,757,05:38:53,12:00:00
09/08/2021,758,06:54:03,17:00:00
09/08/2021,766,05:41:28,12:00:00
09/08/2021,773,07:59:20,12:00:00
09/08/2021,781,05:51:02,12:00:00
09/08/2021,784,06:28:15,12:00:00
09/08/2021,786,07:37:08,12:00:00
09/08/2021,788,07:15:57,12:00:00
09/08/2021,794,06:02:04,12:00:00
09/08/2021,795,07:39:32,12:00:00
09/08/2021,802,05:58:15,12:00:00
09/08/2021,804,07:26:31,12:00:00
09/08/2021,818,06:07:38,12:00:00
09/08/2021,825,05:58:10,12:00:00
09/08/2021,831,05:49:42,12:00:00
09/08/2021,834,05:29:35,12:00:00
09/08/2021,839,06:13:45,12:00:00
09/08/2021,840,07:46:34,12:00:00
09/08/2021,846,07:43:07,12:00:00
09/08/2021,857,05:52:10,12:00:00
09/08/2021,874,06:55:47,12:00:00
09/08/2021,876,07:42:41,12:00:00
09/08/2021,877,07:59:53,12:00:00
09/08/2021,879,07:42:33,12:00:00
09/08/2021,892,07:39:49,12:00:00
09/08/2021,898,07:39:56,12:00:00
09/08/2021,905,05:31:34,12:00:00
09/08/2021,906,07:23:24,12:00:00
09/08/2021,910,04:54:40,12:00:00
09/08/2021,914,05:25:28,12:00:00
09/08/2021,920,08:17:26,12:00:00
09/08/2021,922,08:01:05,12:00:00
09/08/2021,925,05:47:39,12:00:00
09/08/2021,927,06:55:42,12:00:00
09/08/2021,930,05:25:05,12:00:00
09/08/2021,933,07:47:28,12:00:00
09/08/2021,940,05:58:04,12:00:00
09/08/2021,945,05:37:42,12:00:00
09/08/2021,949,07:39:31,12:00:00
09/08/2021,954,05:35:13,12:00:00
09/08/2021,958,07:39:22,12:00:00
09/08/2021,963,07:36:16,12:00:00
09/08/2021,968,05:38:23,12:00:00
09/08/2021,975,07:36:42,12:00:00
09/08/2021,980,07:57:03,17:00:00
09/08/2021,982,07:32:16,12:00:00
09/08/2021,985,08:48:06,12:00:00
09/08/2021,1011,07:00:39,12:00:00
09/08/2021,1012,08:00:29,12:00:00
09/08/2021,1014,07:29:49,12:00:00
09/08/2021,1015,07:45:44,12:00:00
09/08/2021,1019,05:15:11,12:00:00
09/08/2021,1022,05:35:47,12:00:00
09/08/2021,1024,05:29:10,12:00:00
09/08/2021,1028,06:05:55,12:00:00
09/08/2021,1032,06:02:00,12:00:00
09/08/2021,1042,07:15:47,12:00:00
09/08/2021,1057,07:45:20,12:00:00
09/08/2021,1061,05:47:51,12:00:00
09/08/2021,1062,07:00:54,12:00:00
09/08/2021,1063,07:18:05,12:00:00
09/08/2021,1065,05:40:31,12:00:00
09/08/2021,1069,06:54:33,12:00:00
09/08/2021,1074,08:06:28,12:00:00
09/08/2021,1077,05:46:29,12:00:00
09/08/2021,1080,05:36:58,12:00:00
09/08/2021,1083,05:36:34,12:00:00
09/08/2021,1093,05:34:48,12:00:00
09/08/2021,1097,07:15:08,12:00:00
09/08/2021,1099,06:54:42,12:00:00
09/08/2021,1100,06:02:08,12:00:00
09/08/2021,1101,07:10:09,12:00:00
09/08/2021,1102,05:44:36,12:00:00
09/08/2021,1103,07:41:39,12:00:00
09/08/2021,1107,07:37:09,12:00:00
09/08/2021,1141,05:48:04,12:00:00
09/08/2021,1144,07:45:28,12:00:00
09/08/2021,1145,08:14:04,12:00:00
09/08/2021,1151,05:53:57,17:00:00
09/08/2021,1152,08:31:08,17:00:00
09/08/2021,1153,05:40:44,12:00:00
09/08/2021,1154,05:41:07,12:00:00
09/08/2021,1160,07:46:59,12:00:00
09/08/2021,1162,07:39:44,12:00:00
09/08/2021,1185,05:21:12,12:00:00
09/08/2021,1187,07:40:06,17:00:00
09/08/2021,1190,06:19:18,12:00:00
09/08/2021,1191,05:46:46,12:00:00
09/08/2021,1195,05:33:02,12:00:00
09/08/2021,1196,05:33:08,12:00:00
09/08/2021,1198,05:39:34,12:00:00
09/08/2021,1226,05:30:16,12:00:00
09/08/2021,1227,05:44:16,12:00:00
09/08/2021,1230,05:45:09,12:00:00
09/08/2021,1234,05:40:05,12:00:00
09/08/2021,1235,07:37:49,17:00:00
